user_id,job_id,eventType,job_title
0,149,VIEW,Robotic Engineer
0,149,VIEW,Robotic Engineer
0,489,VIEW,Data Scientist
0,161,VIEW,Data Visualizer
0,237,VIEW,Assistant Design Engineer
0,212,VIEW,Senior Implementation Consultant
0,407,VIEW,Applications Developer III
0,166,VIEW,Hiring C++ and C# for British Multinational Tech
0,10,VIEW,Xamarin Dev
0,452,VIEW,Senior Application Engineer
0,367,VIEW,Support And Asst Engineer
0,303,VIEW,Kernel Programmer
0,87,VIEW,Backend Developer - Snr
0,249,VIEW,Mobile Applications all type
0,249,VIEW,Mobile Applications all type
0,249,VIEW,Mobile Applications all type
0,132,VIEW,Changing change management
0,132,VIEW,Changing change management
0,81,VIEW,Senior Full Stack Engineer JS
0,317,VIEW,ML and Data Engineer
0,317,VIEW,ML and Data Engineer
0,77,VIEW,IT Risk Manager
0,198,VIEW,IT Security Expert
0,198,VIEW,IT Security Expert
1,174,VIEW,Android Developer
1,174,FAVOURITED,Android Developer
1,206,VIEW,Firebase Android
1,206,VIEW,Firebase Android
1,18,VIEW,Design Validation and Test
2,16,VIEW,Automation
2,132,VIEW,Changing change management
2,132,VIEW,Changing change management
2,265,VIEW,Microservices testing
3,196,VIEW,Interior Decorator and Designer
3,458,VIEW,Fashion Modeling
4,56,VIEW,Installers
4,348,VIEW,Visua GUI l Designer
4,132,VIEW,Changing change management
5,394,VIEW,Field Engineer
5,22,APPLIED,Flutter with Dart
5,22,VIEW,Flutter with Dart
5,22,VIEW,Flutter with Dart
5,246,VIEW,The Physical Web
5,322,VIEW,Typescript Developer
6,140,VIEW,Engineer and Supervisor
6,140,FAVOURITED,Engineer and Supervisor
6,363,VIEW,Switching Router Engineer
6,97,VIEW,Clean Coder
6,97,VIEW,Clean Coder
6,21,VIEW,Adobe CQ/Adobe AEM
6,21,VIEW,Adobe CQ/Adobe AEM
6,21,VIEW,Adobe CQ/Adobe AEM
6,21,FAVOURITED,Adobe CQ/Adobe AEM
6,21,VIEW,Adobe CQ/Adobe AEM
6,55,VIEW,Adobe CQ/Adobe AEM
6,55,FAVOURITED,Adobe CQ/Adobe AEM
6,55,VIEW,Adobe CQ/Adobe AEM
6,55,VIEW,Adobe CQ/Adobe AEM
6,94,VIEW,Supervisor Snr
6,94,VIEW,Supervisor Snr
7,315,VIEW,Software Tester
7,315,VIEW,Software Tester
7,334,VIEW,Datastage Lead Engineer
7,334,VIEW,Datastage Lead Engineer
7,503,VIEW,Blockchain platform maintenance
7,503,VIEW,Blockchain platform maintenance
7,370,VIEW,Mobile marketing statistics analyzer
7,330,VIEW,Angular JS Lead and Code Moderator
7,330,VIEW,Angular JS Lead and Code Moderator
8,58,VIEW,Researcher
8,58,VIEW,Researcher
8,58,APPLIED,Researcher
9,346,VIEW,Sales Executive
9,346,VIEW,Sales Executive
9,126,VIEW,IT Talent Acquisition Specialist
9,276,VIEW,Executive Branding Manager
9,276,VIEW,Executive Branding Manager
10,221,VIEW,System Administrator
10,221,VIEW,System Administrator
10,6,VIEW,Technical Content Writing
10,147,VIEW,Graphics Pro
10,147,VIEW,Graphics Pro
10,237,VIEW,Assistant Design Engineer
10,98,VIEW,Cloud Integration Professional Urgent
10,526,VIEW,Walk-in ED Coders
10,526,VIEW,Walk-in ED Coders
10,303,VIEW,Kernel Programmer
10,369,VIEW,SEO Expert
11,221,VIEW,System Administrator
11,221,VIEW,System Administrator
11,269,VIEW,AWS Redshift
11,0,VIEW,ASP.NET DEVELOPER
11,394,VIEW,Field Engineer
11,533,VIEW,Database Admin with Production Head
11,533,VIEW,Database Admin with Production Head
11,533,VIEW,Database Admin with Production Head
11,533,VIEW,Database Admin with Production Head
11,533,VIEW,Database Admin with Production Head
11,533,VIEW,Database Admin with Production Head
11,533,VIEW,Database Admin with Production Head
11,533,VIEW,Database Admin with Production Head
11,533,APPLIED,Database Admin with Production Head
11,252,VIEW,Recommender Applications Developer
11,252,VIEW,Recommender Applications Developer
11,130,VIEW,Java Server
11,130,VIEW,Java Server
11,130,VIEW,Java Server
11,152,VIEW,Database Builder
11,152,VIEW,Database Builder
11,509,VIEW,MVC Dev
11,244,VIEW,Unity Games Designer
11,199,VIEW,Artificial intelligence Consultant 
11,199,VIEW,Artificial intelligence Consultant 
11,199,VIEW,Artificial intelligence Consultant 
11,494,VIEW,Mobile UX Interractive Designer
11,494,VIEW,Mobile UX Interractive Designer
11,344,VIEW,Docker e .Net
11,344,VIEW,Docker e .Net
11,289,VIEW,iOS Pro Designer
11,289,VIEW,iOS Pro Designer
11,147,VIEW,Graphics Pro
11,147,VIEW,Graphics Pro
11,167,VIEW,Technical Analyst
11,167,VIEW,Technical Analyst
11,308,VIEW,Ruby on Rail Developer
11,308,VIEW,Ruby on Rail Developer
11,140,VIEW,Engineer and Supervisor
11,482,VIEW,Websphere MQ Administrator SME
11,482,VIEW,Websphere MQ Administrator SME
11,79,VIEW,Senior Design and 3D Engineer
11,79,VIEW,Senior Design and 3D Engineer
11,79,VIEW,Senior Design and 3D Engineer
11,53,VIEW,Cloud Integration Expert
11,212,VIEW,Senior Implementation Consultant
11,212,VIEW,Senior Implementation Consultant
11,223,VIEW,Progressive Web App
11,223,VIEW,Progressive Web App
11,122,VIEW,Staff Software Engineer
11,122,VIEW,Staff Software Engineer
11,78,VIEW,Chat smarter apps
11,517,VIEW,Usability Heuristics for Bots
11,115,VIEW,Design Kit: Prototyping
11,208,VIEW,Designing smart notifications
11,309,VIEW,Oracle Functional applications
11,309,VIEW,Oracle Functional applications
11,256,VIEW,TensorFlow with Pytorch
11,256,VIEW,TensorFlow with Pytorch
11,22,VIEW,Flutter with Dart
11,22,VIEW,Flutter with Dart
11,98,VIEW,Cloud Integration Professional Urgent
11,90,VIEW,Artificial Intelligence Web and Mobile Apps
11,90,FAVOURITED,Artificial Intelligence Web and Mobile Apps
11,90,VIEW,Artificial Intelligence Web and Mobile Apps
11,448,VIEW,Database Engineer SQL
11,448,VIEW,Database Engineer SQL
11,452,VIEW,Senior Application Engineer
11,452,VIEW,Senior Application Engineer
11,367,VIEW,Support And Asst Engineer
11,57,VIEW,Dot Net Architect
11,57,VIEW,Dot Net Architect
11,206,VIEW,Firebase Android
11,206,VIEW,Firebase Android
11,206,VIEW,Firebase Android
11,206,APPLIED,Firebase Android
11,206,APPLIED,Firebase Android
11,206,VIEW,Firebase Android
11,206,VIEW,Firebase Android
11,206,VIEW,Firebase Android
11,206,VIEW,Firebase Android
11,206,VIEW,Firebase Android
11,206,VIEW,Firebase Android
11,283,VIEW,Deployment Support Engineer
11,283,VIEW,Deployment Support Engineer
11,408,VIEW,Android using Laravel
11,408,VIEW,Android using Laravel
11,530,VIEW,Wordpress Woo Commerce
11,42,VIEW,Graph Capabilities with the Elastic Stack
11,507,VIEW,Six Sigma Practitioners
11,507,VIEW,Six Sigma Practitioners
11,245,VIEW,Data Center Security
11,245,VIEW,Data Center Security
11,483,VIEW,Network Architect
11,483,VIEW,Network Architect
11,483,VIEW,Network Architect
11,235,VIEW,Module Lead and Cordinator
11,235,VIEW,Module Lead and Cordinator
11,249,VIEW,Mobile Applications all type
11,249,VIEW,Mobile Applications all type
11,97,VIEW,Clean Coder
11,97,VIEW,Clean Coder
11,97,VIEW,Clean Coder
11,97,VIEW,Clean Coder
11,403,VIEW,Building an Angular 2 Application for Production
11,403,VIEW,Building an Angular 2 Application for Production
11,94,VIEW,Supervisor Snr
11,94,VIEW,Supervisor Snr
11,216,VIEW,UI and UI Prefessional Dev
11,216,VIEW,UI and UI Prefessional Dev
11,216,VIEW,UI and UI Prefessional Dev
11,26,VIEW,Dark Scrum
11,26,VIEW,Dark Scrum
11,26,VIEW,Dark Scrum
11,26,VIEW,Dark Scrum
11,26,APPLIED,Dark Scrum
11,155,VIEW,Android Studio Expert User
11,155,VIEW,Android Studio Expert User
11,155,VIEW,Android Studio Expert User
11,155,VIEW,Android Studio Expert User
11,451,VIEW,MulltiThreading Programming
11,451,VIEW,MulltiThreading Programming
11,451,VIEW,MulltiThreading Programming
11,20,VIEW,WebAssembly
11,331,VIEW,Hype Driven Development
11,331,VIEW,Hype Driven Development
11,331,VIEW,Hype Driven Development
11,290,VIEW,Bash and Terminal
11,81,VIEW,Senior Full Stack Engineer JS
11,224,VIEW,Arduino IOT Developer
11,317,VIEW,ML and Data Engineer
11,317,VIEW,ML and Data Engineer
11,21,APPLIED,Scripting Engineer
11,21,VIEW,Scripting Engineer
11,21,VIEW,Scripting Engineer
11,21,VIEW,Scripting Engineer
11,225,VIEW,3D Checker
11,198,VIEW,IT Security Expert
11,502,VIEW,Apps Optimizer
12,174,VIEW,Android Developer
12,174,VIEW,Android Developer
12,533,VIEW,Database Admin with Production Head
12,533,VIEW,Database Admin with Production Head
12,99,VIEW,Configuration and Releases
12,99,VIEW,Configuration and Releases
12,252,VIEW,Recommender Applications Developer
12,252,VIEW,Recommender Applications Developer
12,390,VIEW,NLP Specialist
12,390,VIEW,NLP Specialist
12,130,VIEW,Java Server
12,130,VIEW,Java Server
12,295,VIEW,Argumented Reality Instructor
12,139,VIEW,Apps Fault finder
12,133,VIEW,Algorithms and architecture for job recommendations Developer
12,499,VIEW,Unix Application Programmer
12,217,VIEW,Lead Analog Design Engineer
12,217,VIEW,Lead Analog Design Engineer
12,1,VIEW,JFS Engineer
12,1,VIEW,JFS Engineer
12,344,VIEW,Docker e .Net
12,344,VIEW,Docker e .Net
12,344,VIEW,Docker e .Net
12,344,VIEW,Docker e .Net
12,344,VIEW,Docker e .Net
12,344,VIEW,Docker e .Net
12,344,VIEW,Docker e .Net
12,167,VIEW,Technical Analyst
12,167,VIEW,Technical Analyst
12,334,VIEW,Datastage Lead Engineer
12,16,VIEW,Automation
12,16,VIEW,Automation
12,16,VIEW,Automation
12,508,VIEW,Operating System Architect
12,534,APPLIED,Technical Support Analyst
12,534,VIEW,Technical Support Analyst
12,377,VIEW,Signal Communication Expert
12,223,VIEW,Progressive Web App
12,92,VIEW,Insight Analyst
12,92,VIEW,Insight Analyst
12,102,VIEW,Urgent Openning for Oracle APEX(KL)
12,188,VIEW,Release Notes composer
12,301,VIEW,Senior Technician Support Engineer
12,32,VIEW,Containers
12,315,VIEW,Operations Zonal Head
12,315,VIEW,Operations Zonal Head
12,398,VIEW,Progressive Web Apps Contract based
12,398,VIEW,Progressive Web Apps Contract based
12,34,VIEW,Vision API - Image Content Analysis
12,34,VIEW,Vision API - Image Content Analysis
12,448,VIEW,Database Engineer SQL
12,448,VIEW,Database Engineer SQL
12,452,VIEW,Senior Application Engineer
12,452,VIEW,Senior Application Engineer
12,367,VIEW,Support And Asst Engineer
12,57,VIEW,Dot Net Architect
12,372,VIEW,Flash and HTML5
12,468,VIEW,Ecommerce for voice call
12,455,VIEW,HTML5 AI Software Engineer
12,135,VIEW,Jenkins
12,530,VIEW,Wordpress Woo Commerce
12,507,VIEW,Six Sigma Practitioners
12,235,VIEW,Module Lead and Cordinator
12,235,VIEW,Module Lead and Cordinator
12,94,VIEW,Supervisor Snr
12,216,VIEW,UI and UI Prefessional Dev
12,26,VIEW,Dark Scrum
12,26,VIEW,Dark Scrum
12,155,VIEW,Android Studio Expert User
12,155,VIEW,Android Studio Expert User
12,451,VIEW,MulltiThreading Programming
12,20,VIEW,WebAssembly
12,81,VIEW,Senior Full Stack Engineer JS
12,81,VIEW,Senior Full Stack Engineer JS
12,84,VIEW,Database Experience developer II
12,21,VIEW,Scripting Engineer
12,484,VIEW,Fraud Management Consultant
13,315,VIEW,Software Tester
13,315,VIEW,Software Tester
13,269,VIEW,AWS Redshift
13,149,VIEW,Robotic Engineer
