jobId,userId,eventType,job_title
-3.50E+18,-8.85E+18,VIEW,Android Developer
-3.50E+18,-8.85E+18,VIEW,Android Developer
-3.50E+18,-1.09E+17,VIEW,Android Developer
-3.50E+18,-1.44E+18,VIEW,Android Developer
-3.50E+18,-1.44E+18,VIEW,Android Developer
-3.50E+18,-1.44E+18,VIEW,Android Developer
-3.50E+18,-8.02E+18,VIEW,Android Developer
-3.50E+18,-8.02E+18,VIEW,Android Developer
-3.50E+18,-9.01E+18,VIEW,Android Developer
-3.50E+18,-9.01E+18,VIEW,Android Developer
-3.50E+18,-3.60E+18,VIEW,Android Developer
-3.50E+18,-3.60E+18,FAVOURITED,Android Developer
-3.50E+18,-1.09E+17,VIEW,Android Developer
-3.50E+18,-3.60E+18,VIEW,Android Developer
-3.50E+18,-3.60E+18,VIEW,Android Developer
-3.50E+18,-7.49E+18,VIEW,Android Developer
-3.50E+18,-1.09E+17,VIEW,Android Developer
-3.50E+18,-7.49E+18,VIEW,Android Developer
8.89E+18,-1.03E+18,VIEW,Full Stack Software Engineer
8.89E+18,-1.03E+18,VIEW,Full Stack Software Engineer
8.89E+18,-8.85E+18,FAVOURITED,Full Stack Software Engineer
8.89E+18,-8.55E+18,VIEW,Full Stack Software Engineer
8.89E+18,-8.55E+18,VIEW,Full Stack Software Engineer
8.89E+18,-1.03E+18,VIEW,Full Stack Software Engineer
8.89E+18,-2.63E+18,VIEW,Full Stack Software Engineer
8.89E+18,7.44E+18,VIEW,Full Stack Software Engineer
8.89E+18,-2.90E+18,VIEW,Full Stack Software Engineer
8.89E+18,-2.90E+18,VIEW,Full Stack Software Engineer
8.89E+18,7.44E+18,VIEW,Full Stack Software Engineer
8.89E+18,-6.94E+18,VIEW,Full Stack Software Engineer
8.89E+18,-6.94E+18,VIEW,Full Stack Software Engineer
8.89E+18,-3.39E+18,VIEW,Full Stack Software Engineer
8.89E+18,-3.39E+18,VIEW,Full Stack Software Engineer
8.89E+18,8.24E+18,VIEW,Full Stack Software Engineer
8.89E+18,-4.75E+18,VIEW,Full Stack Software Engineer
8.89E+18,-1.13E+18,VIEW,Full Stack Software Engineer
8.89E+18,6.46E+18,VIEW,Full Stack Software Engineer
8.89E+18,-8.06E+18,VIEW,Full Stack Software Engineer
8.89E+18,-4.75E+18,VIEW,Full Stack Software Engineer
8.89E+18,-5.87E+18,VIEW,Full Stack Software Engineer
8.89E+18,-8.43E+18,VIEW,Full Stack Software Engineer
8.89E+18,-8.43E+18,VIEW,Full Stack Software Engineer
8.89E+18,-8.06E+18,VIEW,Full Stack Software Engineer
8.89E+18,-1.13E+18,VIEW,Full Stack Software Engineer
8.89E+18,8.24E+18,VIEW,Full Stack Software Engineer
8.89E+18,-5.87E+18,VIEW,Full Stack Software Engineer
8.89E+18,6.46E+18,VIEW,Full Stack Software Engineer
8.89E+18,-3.47E+18,VIEW,Full Stack Software Engineer
8.89E+18,-2.63E+18,VIEW,Full Stack Software Engineer
8.89E+18,-2.73E+18,VIEW,Full Stack Software Engineer
8.89E+18,3.61E+18,VIEW,Full Stack Software Engineer
8.89E+18,-3.47E+18,VIEW,Full Stack Software Engineer
8.89E+18,-2.73E+18,VIEW,Full Stack Software Engineer
8.89E+18,3.61E+18,VIEW,Full Stack Software Engineer
8.89E+18,-2.63E+18,VIEW,Full Stack Software Engineer
8.89E+18,-5.23E+18,VIEW,Full Stack Software Engineer
8.89E+18,5.13E+18,VIEW,Full Stack Software Engineer
8.89E+18,-3.20E+18,VIEW,Full Stack Software Engineer
8.89E+18,-3.20E+18,VIEW,Full Stack Software Engineer
8.89E+18,-5.23E+18,VIEW,Full Stack Software Engineer
8.89E+18,5.13E+18,VIEW,Full Stack Software Engineer
8.89E+18,1.90E+18,VIEW,Full Stack Software Engineer
8.89E+18,-3.60E+18,VIEW,Full Stack Software Engineer
8.89E+18,-1.03E+18,VIEW,Full Stack Software Engineer
8.89E+18,6.75E+17,FAVOURITED,Full Stack Software Engineer
8.89E+18,-2.82E+18,VIEW,Full Stack Software Engineer
8.89E+18,6.75E+17,VIEW,Full Stack Software Engineer
8.89E+18,-1.03E+18,FAVOURITED,Full Stack Software Engineer
8.89E+18,-2.82E+18,VIEW,Full Stack Software Engineer
8.89E+18,-6.07E+18,VIEW,Full Stack Software Engineer
8.89E+18,6.97E+18,VIEW,Full Stack Software Engineer
8.89E+18,-1.03E+18,APPLIED,Full Stack Software Engineer
8.89E+18,-3.60E+18,VIEW,Full Stack Software Engineer
8.89E+18,-4.09E+18,VIEW,Full Stack Software Engineer
8.89E+18,-6.07E+18,VIEW,Full Stack Software Engineer
8.89E+18,6.97E+18,VIEW,Full Stack Software Engineer
8.89E+18,1.49E+18,VIEW,Full Stack Software Engineer
8.89E+18,1.49E+18,VIEW,Full Stack Software Engineer
8.89E+18,-1.03E+18,VIEW,Full Stack Software Engineer
8.89E+18,-2.63E+18,VIEW,Full Stack Software Engineer
8.89E+18,-2.63E+18,VIEW,Full Stack Software Engineer
8.89E+18,3.83E+18,VIEW,Full Stack Software Engineer
8.89E+18,3.83E+18,VIEW,Full Stack Software Engineer
8.89E+18,-3.60E+18,VIEW,Full Stack Software Engineer
8.89E+18,-4.24E+18,VIEW,Full Stack Software Engineer
8.89E+18,-4.24E+18,VIEW,Full Stack Software Engineer
8.89E+18,-4.24E+18,VIEW,Full Stack Software Engineer
8.89E+18,-4.24E+18,VIEW,Full Stack Software Engineer
8.89E+18,4.42E+18,VIEW,Full Stack Software Engineer
8.89E+18,4.42E+18,VIEW,Full Stack Software Engineer
8.89E+18,6.93E+17,VIEW,Full Stack Software Engineer
8.89E+18,6.93E+17,VIEW,Full Stack Software Engineer
8.89E+18,-3.60E+18,VIEW,Full Stack Software Engineer
8.89E+18,-1.03E+18,VIEW,Full Stack Software Engineer
8.89E+18,2.55E+18,VIEW,Full Stack Software Engineer
8.89E+18,2.55E+18,VIEW,Full Stack Software Engineer
8.89E+18,-1.13E+18,VIEW,Full Stack Software Engineer
8.89E+18,-2.90E+18,VIEW,Full Stack Software Engineer
8.89E+18,4.42E+18,VIEW,Full Stack Software Engineer
8.89E+18,8.70E+18,VIEW,Full Stack Software Engineer
8.89E+18,8.70E+18,VIEW,Full Stack Software Engineer
8.89E+18,-3.54E+18,VIEW,Full Stack Software Engineer
8.89E+18,-4.09E+18,VIEW,Full Stack Software Engineer
8.89E+18,-4.09E+18,VIEW,Full Stack Software Engineer
8.89E+18,-4.09E+18,VIEW,Full Stack Software Engineer
8.89E+18,-4.09E+18,VIEW,Full Stack Software Engineer
8.89E+18,-4.09E+18,VIEW,Full Stack Software Engineer
8.89E+18,-2.39E+18,VIEW,Full Stack Software Engineer
8.89E+18,-1.09E+17,FAVOURITED,Full Stack Software Engineer
8.89E+18,-1.09E+17,VIEW,Full Stack Software Engineer
8.89E+18,3.64E+18,VIEW,Full Stack Software Engineer
8.89E+18,1.90E+18,VIEW,Full Stack Software Engineer
8.89E+18,-3.51E+18,VIEW,Full Stack Software Engineer
8.89E+18,-5.38E+18,VIEW,Full Stack Software Engineer
8.89E+18,1.90E+18,VIEW,Full Stack Software Engineer
8.89E+18,-4.09E+18,VIEW,Full Stack Software Engineer
8.89E+18,3.64E+18,VIEW,Full Stack Software Engineer
8.89E+18,2.42E+18,VIEW,Full Stack Software Engineer
8.89E+18,-1.09E+17,VIEW,Full Stack Software Engineer
8.89E+18,6.75E+17,VIEW,Full Stack Software Engineer
8.89E+18,-5.38E+18,VIEW,Full Stack Software Engineer
8.89E+18,3.22E+18,VIEW,Full Stack Software Engineer
8.89E+18,-2.39E+18,VIEW,Full Stack Software Engineer
8.89E+18,1.75E+18,VIEW,Full Stack Software Engineer
8.89E+18,8.41E+18,VIEW,Full Stack Software Engineer
8.89E+18,2.42E+18,VIEW,Full Stack Software Engineer
8.89E+18,-3.51E+18,VIEW,Full Stack Software Engineer
8.89E+18,6.75E+17,VIEW,Full Stack Software Engineer
8.89E+18,3.22E+18,VIEW,Full Stack Software Engineer
8.89E+18,1.75E+18,VIEW,Full Stack Software Engineer
8.89E+18,8.41E+18,VIEW,Full Stack Software Engineer
8.89E+18,5.60E+18,VIEW,Full Stack Software Engineer
8.89E+18,5.60E+18,VIEW,Full Stack Software Engineer
8.89E+18,-3.54E+18,VIEW,Full Stack Software Engineer
8.89E+18,-2.93E+17,VIEW,Full Stack Software Engineer
8.89E+18,-6.03E+18,VIEW,Full Stack Software Engineer
8.89E+18,-8.62E+18,VIEW,Full Stack Software Engineer
8.89E+18,-8.62E+18,VIEW,Full Stack Software Engineer
8.89E+18,-6.03E+18,FAVOURITED,Full Stack Software Engineer
8.89E+18,-3.54E+18,VIEW,Full Stack Software Engineer
8.89E+18,1.90E+18,VIEW,Full Stack Software Engineer
8.89E+18,1.90E+18,VIEW,Full Stack Software Engineer
8.89E+18,-2.93E+17,VIEW,Full Stack Software Engineer
8.89E+18,-6.03E+18,VIEW,Full Stack Software Engineer
8.89E+18,4.42E+18,VIEW,Full Stack Software Engineer
8.89E+18,-3.60E+18,VIEW,Full Stack Software Engineer
8.89E+18,-3.60E+18,VIEW,Full Stack Software Engineer
